event	time	e_time	u_time	magnitude	e_magnitude	band	upperlimit
SN1994I	49444.45		MJD	14.4100	0.0300	B	
SN1994I	49444.45		MJD	13.7800	0.0100	I	
SN1994I	49444.45		MJD	13.8700	0.0200	R	
SN1994I	49444.45		MJD	14.0300	0.0100	V	
SN1994I	49444.52		MJD	13.7500	0.0100	I	
SN1994I	49444.52		MJD	13.7700	0.1100	R	
SN1994I	49444.52		MJD	14.1300	0.0500	V	
SN1994I	49445.18		MJD	14.2		B	
SN1994I	49445.18		MJD	13.61		R	
SN1994I	49445.18		MJD	13.74		V	
SN1994I	49445.37		MJD	13.4300	0.0200	I	
SN1994I	49445.37		MJD	13.5000	0.1000	R	
SN1994I	49445.37		MJD	13.7800	0.0400	V	
SN1994I	49445.4		MJD	13.55		I	
SN1994I	49445.4		MJD	13.43		R	
SN1994I	49445.4		MJD	13.54		V	
SN1994I	49446.4		MJD	13.97		B	
SN1994I	49446.4		MJD	13.19		I	
SN1994I	49446.4		MJD	13.2		R	
SN1994I	49446.4		MJD	13.79		U	
SN1994I	49446.4		MJD	13.38		V	
SN1994I	49446.42		MJD	13.9700	0.0800	B	
SN1994I	49446.42		MJD	13.0900	0.0100	I	
SN1994I	49446.42		MJD	13.2100	0.0200	R	
SN1994I	49446.42		MJD	13.3900	0.0100	V	
SN1994I	49447.39		MJD	13.9500	0.0200	B	
SN1994I	49447.39		MJD	12.9000	0.0100	I	
SN1994I	49447.39		MJD	13.0600	0.0200	R	
SN1994I	49447.39		MJD	13.8800	0.0600	U	
SN1994I	49447.39		MJD	13.2100	0.0100	V	
SN1994I	49447.47		MJD	12.8600	0.0100	I	
SN1994I	49447.47		MJD	12.9800	0.0000	R	
SN1994I	49447.47		MJD	13.2000	0.0000	V	
SN1994I	49447.5		MJD	13.83		B	
SN1994I	49447.5		MJD	12.97		I	
SN1994I	49447.5		MJD	13.02		R	
SN1994I	49447.5		MJD	13.86		U	
SN1994I	49447.5		MJD	13.21		V	
SN1994I	49447.6		MJD	13		I	
SN1994I	49447.6		MJD	13		R	
SN1994I	49447.6		MJD	13.22		V	
SN1994I	49447.6		MJD	13.3		V	
SN1994I	49449.3		MJD	13.71		B	
SN1994I	49449.3		MJD	12.72		I	
SN1994I	49449.3		MJD	12.74		R	
SN1994I	49449.3		MJD	13.7		U	
SN1994I	49449.3		MJD	12.96		V	
SN1994I	49449.36		MJD	13.6800	0.2100	B	
SN1994I	49449.36		MJD	12.6000	0.0100	I	
SN1994I	49449.36		MJD	12.7200	0.0200	R	
SN1994I	49449.36		MJD	12.9900	0.0100	V	
SN1994I	49449.86		MJD	14.05		B	
SN1994I	49449.86		MJD	14.7		U	
SN1994I	49449.88		MJD	13.56		B	
SN1994I	49449.88		MJD	13.05		V	
SN1994I	49449.9		MJD	13.83		B	
SN1994I	49449.91		MJD	14		B	
SN1994I	49450.4		MJD	14.03		B	
SN1994I	49450.4		MJD	12.63		I	
SN1994I	49450.4		MJD	12.65		R	
SN1994I	49450.4		MJD	12.96		V	
SN1994I	49450.8		MJD	12.71		R	
SN1994I	49450.8		MJD	12.8		R	
SN1994I	49450.8		MJD	12.95		V	
SN1994I	49450.8		MJD	13.1		V	
SN1994I	49451.4		MJD	13.82		B	
SN1994I	49451.4		MJD	12.55		I	
SN1994I	49451.4		MJD	12.57		R	
SN1994I	49451.4		MJD	12.87		V	
SN1994I	49451.7		MJD	12.68		R	
SN1994I	49451.7		MJD	12.7		R	
SN1994I	49451.7		MJD	13		V	
SN1994I	49451.76		MJD	13.88		B	
SN1994I	49452.4		MJD	13.93		B	
SN1994I	49452.4		MJD	12.55		I	
SN1994I	49452.4		MJD	12.65		R	
SN1994I	49452.4		MJD	14.3		U	
SN1994I	49452.4		MJD	12.93		V	
SN1994I	49452.45		MJD	13.8100	0.0700	B	
SN1994I	49452.45		MJD	12.4900	0.0100	I	
SN1994I	49452.45		MJD	12.6200	0.0200	R	
SN1994I	49452.45		MJD	12.9100	0.0100	V	
SN1994I	49452.6		MJD	12.48		I	
SN1994I	49452.6		MJD	12.6		I	
SN1994I	49452.6		MJD	12.67		R	
SN1994I	49452.6		MJD	12.7		R	
SN1994I	49452.6		MJD	13		V	
SN1994I	49452.76		MJD	14.18		B	
SN1994I	49453.06		MJD	12.93		V	
SN1994I	49453.4		MJD	14.03		B	
SN1994I	49453.4		MJD	12.57		I	
SN1994I	49453.4		MJD	12.71		R	
SN1994I	49453.4		MJD	13.02		V	
SN1994I	49453.44		MJD	14.0600	0.0300	B	
SN1994I	49453.44		MJD	12.5200	0.0100	I	
SN1994I	49453.44		MJD	12.7600	0.0200	R	
SN1994I	49453.44		MJD	13.0300	0.0100	V	
SN1994I	49453.45		MJD	14.0200	0.0400	B	
SN1994I	49453.45		MJD	12.5200	0.0100	I	
SN1994I	49453.45		MJD	12.7000	0.0200	R	
SN1994I	49453.45		MJD	13.0100	0.0100	V	
SN1994I	49453.5		MJD	12.56		I	
SN1994I	49453.5		MJD	12.6		I	
SN1994I	49453.5		MJD	12.7		R	
SN1994I	49453.5		MJD	12.73		R	
SN1994I	49453.5		MJD	13.06		V	
SN1994I	49453.5		MJD	13.1		V	
SN1994I	49453.81		MJD	14.2		B	
SN1994I	49454.06		MJD	12.9		V	
SN1994I	49454.3		MJD	14.18		B	
SN1994I	49454.3		MJD	12.61		I	
SN1994I	49454.3		MJD	12.76		R	
SN1994I	49454.3		MJD	14.65		U	
SN1994I	49454.3		MJD	13.1		V	
SN1994I	49454.32		MJD	14.1800	0.0300	B	
SN1994I	49454.32		MJD	12.5400	0.0100	I	
SN1994I	49454.32		MJD	12.7800	0.0100	R	
SN1994I	49454.32		MJD	14.5900	0.0900	U	
SN1994I	49454.32		MJD	13.1000	0.0100	V	
SN1994I	49454.35		MJD	14.2300	0.0400	B	
SN1994I	49454.35		MJD	12.5600	0.0000	I	
SN1994I	49454.35		MJD	12.7400	0.0300	R	
SN1994I	49454.35		MJD	13.1300	0.0200	V	
SN1994I	49455.05		MJD	13.12		V	
SN1994I	49455.38		MJD	14.3500	0.0300	B	
SN1994I	49455.38		MJD	14.5600	0.0200	B	
SN1994I	49455.38		MJD	12.5900	0.0100	I	
SN1994I	49455.38		MJD	12.6500	0.0100	I	
SN1994I	49455.38		MJD	12.7700	0.0200	R	
SN1994I	49455.38		MJD	12.9500	0.0200	R	
SN1994I	49455.38		MJD	14.9100	0.1500	U	
SN1994I	49455.38		MJD	13.1400	0.0100	V	
SN1994I	49455.38		MJD	13.3000	0.0100	V	
SN1994I	49455.4		MJD	14.38		B	
SN1994I	49455.4		MJD	12.64		I	
SN1994I	49455.4		MJD	12.84		R	
SN1994I	49455.4		MJD	13.18		V	
SN1994I	49455.6		MJD	12.66		I	
SN1994I	49455.6		MJD	12.7		I	
SN1994I	49455.6		MJD	12.85		R	
SN1994I	49455.6		MJD	12.9		R	
SN1994I	49455.6		MJD	13.26		V	
SN1994I	49455.6		MJD	13.3		V	
SN1994I	49456.05		MJD	13.1		V	
SN1994I	49456.33		MJD	12.6200	0.0100	I	
SN1994I	49456.33		MJD	12.9200	0.0300	R	
SN1994I	49456.33		MJD	13.3700	0.0200	V	
SN1994I	49456.34		MJD	14.5600	0.0200	B	
SN1994I	49456.34		MJD	12.6500	0.0100	I	
SN1994I	49456.34		MJD	12.9500	0.0200	R	
SN1994I	49456.34		MJD	13.3000	0.0100	V	
SN1994I	49456.6		MJD	12.73		I	
SN1994I	49456.6		MJD	12.8		I	
SN1994I	49456.6		MJD	12.93		R	
SN1994I	49456.6		MJD	13		R	
SN1994I	49456.6		MJD	13.35		V	
SN1994I	49456.6		MJD	13.4		V	
SN1994I	49456.96		MJD	14.62		B	
SN1994I	49456.96		MJD	15.84		U	
SN1994I	49456.96		MJD	13.2		V	
SN1994I	49457.05		MJD	13.27		V	
SN1994I	49457.32		MJD	14.7500	0.0200	B	
