event	time	e_time	u_time	magnitude	e_magnitude	band	upperlimit
SN2006lc	53989.258943		MJD	23.281	0.715	r'	T
SN2006lc	53989.259772		MJD	22.498	0.453	i'	T
SN2006lc	53989.260602		MJD	24.809	1.777	u'	T
SN2006lc	53989.261431		MJD	21.632	0.509	z'	T
SN2006lc	53989.262260		MJD	24.240	1.270	g'	T
SN2006lc	53995.248049		MJD	25.046	0.832	r'	T
SN2006lc	53995.248879		MJD	22.967	0.508	i'	T
SN2006lc	53995.249708		MJD	23.986	1.118	u'	T
SN2006lc	53995.250537		MJD	21.550	0.405	z'	T
SN2006lc	53995.251366		MJD	24.054	0.589	g'	T
SN2006lc	54000.234095		MJD	24.203	1.071	r'	T
SN2006lc	54000.234924		MJD	24.322	1.159	i'	T
SN2006lc	54000.235754		MJD	23.299	1.244	u'	T
SN2006lc	54000.236583		MJD	21.920	0.811	z'	T
SN2006lc	54000.237412		MJD	23.429	0.551	g'	T
SN2006lc	54007.284172		MJD	24.125	0.932	r'	T
SN2006lc	54007.285001		MJD	22.918	0.580	i'	T
SN2006lc	54007.285831		MJD	23.830	1.224	u'	T
SN2006lc	54007.286660		MJD	21.897	0.611	z'	T
SN2006lc	54007.287489		MJD	24.986	0.911	g'	T
SN2006lc	54009.207693		MJD	23.241	0.563	r'	T
SN2006lc	54009.208522		MJD	23.952	0.944	i'	T
SN2006lc	54009.209351		MJD	24.619	1.411	u'	T
SN2006lc	54009.210180		MJD	21.682	0.544	z'	T
SN2006lc	54009.211010		MJD	25.212	1.004	g'	T
SN2006lc	54011.272144		MJD	23.325	0.703	r'	T
SN2006lc	54011.272973		MJD	22.827	0.533	i'	T
SN2006lc	54011.273802		MJD	25.601	1.514	u'	T
SN2006lc	54011.274631		MJD	22.203	0.645	z'	T
SN2006lc	54011.275461		MJD	26.578	0.905	g'	T
SN2006lc	54019.221855		MJD	23.099	0.481	r'	T
SN2006lc	54019.222684		MJD	23.508	0.781	i'	T
SN2006lc	54019.223513		MJD	22.747	0.774	u'	T
SN2006lc	54019.224343		MJD	22.393	0.701	z'	T
SN2006lc	54019.225172		MJD	24.230	0.956	g'	T
SN2006lc	54025.270350		MJD	23.985	1.023	r'	T
SN2006lc	54025.271180		MJD	22.553	0.514	i'	T
SN2006lc	54025.272009		MJD	22.764	0.833	u'	T
SN2006lc	54025.272838		MJD	22.276	0.890	z'	T
SN2006lc	54025.273667		MJD	23.878	0.714	g'	T
SN2006lc	54029.200558		MJD	19.129	0.024	r'	F
SN2006lc	54029.201387		MJD	18.923	0.019	i'	F
SN2006lc	54029.202216		MJD	21.717	0.239	u'	T
SN2006lc	54029.203045		MJD	19.002	0.058	z'	F
SN2006lc	54029.203875		MJD	20.174	0.027	g'	F
SN2006lc	54031.187480		MJD	18.456	0.014	r'	F
SN2006lc	54031.189138		MJD	20.809	0.110	u'	F
SN2006lc	54031.189968		MJD	18.407	0.034	z'	F
SN2006lc	54031.190797		MJD	19.302	0.023	g'	F
SN2006lc	54033.10		MJD	19.086	0.027	B	F
SN2006lc	54033.10		MJD	18.331	0.015	V	F
SN2006lc	54033.10		MJD	18.696	0.017	g	F
SN2006lc	54033.10		MJD	17.981	0.019	i	F
SN2006lc	54033.10		MJD	18.032	0.013	r	F
SN2006lc	54033.10		MJD	20.370	0.165	u	F
SN2006lc	54033.6024		MJD	20.583		UVW2	T
SN2006lc	54033.6080		MJD	18.132	0.197	V	F
SN2006lc	54033.6121		MJD	20.230		UVM2	T
SN2006lc	54033.6261		MJD	20.250		UVW1	T
SN2006lc	54033.6293		MJD	19.504	0.310	U	F
SN2006lc	54033.6309		MJD	18.845	0.162	B	F
SN2006lc	54036.06		MJD	18.727	0.018	B	F
SN2006lc	54036.06		MJD	17.756	0.040	V	F
SN2006lc	54036.06		MJD	18.298	0.011	g	F
SN2006lc	54036.06		MJD	17.613	0.010	i	F
SN2006lc	54036.06		MJD	17.647	0.011	r	F
SN2006lc	54036.06		MJD	19.956	0.079	u	F
SN2006lc	54036.191457		MJD	17.642	0.012	r'	F
SN2006lc	54036.192286		MJD	17.529	0.010	i'	F
SN2006lc	54036.193115		MJD	19.898	0.057	u'	F
SN2006lc	54036.193944		MJD	17.621	0.043	z'	F
SN2006lc	54036.194773		MJD	18.351	0.019	g'	F
SN2006lc	54036.7794		MJD	20.644		UVW2	T
SN2006lc	54037.11		MJD	16.635	0.017	H	F
SN2006lc	54037.11		MJD	16.710	0.020	H	F
SN2006lc	54037.11		MJD	16.831	0.018	J	F
SN2006lc	54037.11		MJD	16.866	0.019	J	F
SN2006lc	54037.11		MJD	17.135	0.021	Y	F
SN2006lc	54038.07		MJD	18.596	0.021	B	F
